"TL_inc_d1_DI_ctrl_2"	"TL_inc_d1_DI_ctrl_3"	"TL_inc_d1_DI_ctrl_4"	"TL_inc_d1_DI_ctrl_5"	"TL_inc_d2_DI_ctrl_1"	"TL_inc_d2_DI_ctrl_3"	"TL_inc_d2_DI_ctrl_4"	"TL_inc_d2_DI_ctrl_5"	"TL_inc_d1_ASW_noS_1"	"TL_inc_d1_ASW_noS_2"	"TL_inc_d1_ASW_noS_3"	"TL_inc_d1_ASW_noS_4"	"TL_inc_d1_ASW_noS_5"	"TL_inc_d2_ASW_noS_2"	"TL_inc_d2_ASW_noS_3"	"TL_inc_d2_ASW_noS_4"	"TL_inc_d2_ASW_noS_5"	"TL_inc_d1_ASW_3"	"TL_inc_d1_ASW_4"	"TL_inc_d1_ASW_5"	"TL_inc_d2_ASW_1"	"TL_inc_d2_ASW_3"	"TL_inc_d2_ASW_4"	"TL_inc_d2_ASW_5"	"TL_inc_d1_SO4_3"	"TL_inc_d1_SO4_4"	"TL_inc_d1_SO4_5A"	"TL_inc_d1_SO4_5B"	"TL_inc_d2_SO4_2"	"TL_inc_d2_SO4_3"	"TL_inc_d2_SO4_4"	"TL_inc_d2_SO4_5A"	"TL_inc_d2_SO4_5B"	"Consensus.lineage"
"58"	"  215"	"1412"	"1393"	"1484"	"  50"	"  24"	"  28"	"  330"	"  398"	"  301"	"  345"	"1002"	" 920"	"  31"	"   17"	"  112"	"  10"	"  199"	"  87"	"   41"	"   41"	"  33"	"  77"	" 112"	" 294"	" 673"	" 789"	"  27"	"  55"	"  26"	"  16"	"  15"	" 630"	"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA"
"59"	"  208"	"  66"	" 157"	" 192"	" 687"	" 330"	" 530"	"  331"	"   78"	"   76"	"  172"	"  99"	"  68"	" 915"	"  105"	" 1087"	"1436"	"   53"	"  43"	"  409"	" 1204"	"2167"	"  42"	"1730"	" 227"	"  75"	" 148"	"1571"	"1137"	"1239"	"1406"	"2034"	" 174"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"60"	" 1126"	"1018"	" 875"	" 684"	" 104"	"  59"	"  61"	"  231"	"  281"	"  150"	"  496"	" 342"	" 302"	" 624"	"   49"	"  719"	"  37"	"  226"	"  74"	"  352"	"  564"	"1056"	"  72"	"1436"	"1606"	"1308"	" 933"	" 119"	" 157"	"  84"	"  72"	"  78"	" 749"	"k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__AcidobacteriaceaeFA"
"61"	"  392"	" 415"	" 722"	" 792"	" 453"	" 729"	" 193"	"  389"	"  494"	"  238"	"  497"	" 580"	" 490"	" 623"	"  533"	"  893"	" 744"	"  241"	" 518"	"  132"	"  623"	" 688"	" 462"	" 184"	" 312"	" 308"	" 257"	" 477"	" 409"	" 549"	" 360"	" 571"	" 345"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Solirubrobacterales;f__SolirubrobacteralesOR;g__SolirubrobacteralesOR"
"62"	"    3"	"  77"	"  35"	"  30"	"   1"	"   0"	"   0"	"    2"	"    8"	"   17"	"   14"	" 266"	" 249"	"   1"	"    0"	"    3"	"   1"	"  123"	"  13"	"    1"	"    0"	"   0"	"   8"	"   0"	"   4"	"  15"	"  24"	"   0"	"   2"	"   0"	"   1"	"   0"	"  21"	"k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales;f__Spartobacteriaceae;g__MC18"
"63"	"  268"	" 818"	"  97"	" 185"	"  37"	"  64"	"   6"	"   54"	"   27"	"   15"	"   19"	" 139"	" 104"	"  13"	"    5"	"    8"	"   1"	"   25"	"   2"	"    9"	"    8"	"  12"	"   1"	"   0"	"  61"	" 829"	" 655"	"  26"	" 117"	"   5"	"  20"	"  55"	" 472"	"k__Bacteria;p__Spirochaetes;c__Spirochaetes (class);o__Spirochaetales;f__Spirochaetaceae;g__TM3"
"65"	"  583"	" 440"	" 412"	" 351"	"  16"	"  38"	"   3"	"   25"	"  814"	"  286"	" 1221"	"1898"	"1761"	"   5"	"   38"	"   31"	"  30"	"  514"	" 451"	"   95"	"   14"	"  10"	" 464"	"   6"	" 237"	" 323"	" 411"	"  12"	"   1"	"   5"	"  18"	"   8"	" 607"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__MC47;f__MC47OR;g__MC47OR"
"66"	"  152"	" 118"	" 138"	" 356"	" 846"	" 226"	" 830"	"  173"	"   49"	"   34"	"   55"	" 107"	" 100"	" 478"	"  114"	"  960"	"2241"	"   23"	"  16"	"  286"	"  911"	"1833"	"  26"	" 981"	" 167"	" 133"	" 199"	" 943"	" 901"	"1183"	"1267"	"2055"	" 160"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"67"	" 1024"	" 425"	" 426"	" 590"	" 319"	" 260"	" 415"	"  707"	"   96"	"  123"	"  273"	" 410"	" 358"	"1574"	"   85"	"  728"	" 794"	"  101"	"  11"	"  142"	"  246"	"1125"	"   6"	" 929"	" 617"	" 724"	" 462"	" 473"	" 255"	" 249"	" 314"	" 200"	" 401"	"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__VerrucomicrobialesOR;g__VerrucomicrobialesOR"
"68"	"    0"	"   0"	"   0"	"   0"	"  44"	" 560"	"  22"	"    0"	"    1"	"    0"	"    0"	"   0"	"   0"	"   5"	"    6"	"    0"	" 168"	"    0"	"   0"	"    2"	"    9"	"   0"	"   0"	"  14"	"   0"	"   0"	"  37"	"  72"	"   5"	"  25"	" 140"	"   2"	"   1"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__DeltaproteobacteriaCL;f__DeltaproteobacteriaCL;g__DeltaproteobacteriaCL"
"69"	"    2"	"   2"	"   1"	"   7"	"   3"	"   0"	"   4"	"    1"	" 1429"	"  186"	" 4259"	"  49"	"   2"	"   0"	"   35"	"    1"	"   0"	"    0"	"   0"	"    0"	"    0"	"   0"	"   0"	"   9"	"   2"	"   0"	"   7"	"   0"	"   5"	"   0"	"   0"	"   1"	"   5"	"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__RhodocyclalesOR;g__RhodocyclalesOR"
"71"	"    0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"  189"	"18649"	"   32"	"   1"	"   0"	" 147"	"   10"	"    0"	"   0"	"    0"	"   0"	"    0"	"    0"	"   3"	"   0"	"   2"	"   0"	"   0"	"   0"	"   0"	"   3"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus"
"72"	"   30"	"  25"	"  28"	"  10"	"  23"	"  46"	"  35"	"   17"	"   46"	"  429"	"   52"	" 102"	"  90"	" 259"	"13188"	"  196"	"  46"	"  599"	" 147"	"   37"	" 1792"	" 191"	" 255"	"  74"	"  26"	"  49"	"  38"	"  80"	" 211"	"  48"	"  26"	"  12"	"  28"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__OPB54;f__OPB54OR;g__OPB54OR"
"73"	"  724"	" 287"	" 256"	" 292"	"  71"	"  62"	"  36"	"  101"	"  870"	"  844"	"  979"	"1045"	" 924"	" 129"	"  304"	"  334"	" 113"	"  511"	" 694"	"  539"	"  475"	" 429"	" 844"	"  97"	" 370"	" 414"	" 358"	"  76"	" 103"	"  51"	"  22"	"  54"	" 553"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__ActinomycetalesOR;g__ActinomycetalesOR"
"75"	"  131"	"  77"	"  73"	"  55"	"  11"	"  15"	"   8"	"   15"	"  108"	"  471"	"  108"	" 356"	" 281"	"  25"	"  395"	"   69"	"  16"	" 1259"	" 169"	"   45"	"  199"	"   9"	" 140"	"   8"	"  26"	"  59"	"  60"	"  16"	"   7"	"  11"	"   9"	"  15"	"  57"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium"
"76"	"   78"	"  17"	"  28"	"  87"	" 476"	" 158"	" 335"	" 1708"	"  120"	"   57"	"   66"	"  30"	"  30"	"2474"	"  534"	" 2877"	" 648"	"   70"	"  12"	"   71"	" 2324"	"1657"	"  24"	" 451"	"  38"	"  20"	"  30"	" 274"	" 795"	" 337"	" 517"	"1380"	"  67"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"77"	"    0"	"   1"	"   0"	"   0"	"   0"	"   0"	"   4"	"    0"	"   13"	"    4"	"    2"	"   4"	"   0"	"   9"	"    0"	"    1"	"  15"	"   43"	"   1"	"16571"	" 1164"	"   0"	"   3"	"  37"	"   0"	"   2"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus"
"78"	" 1317"	" 537"	" 245"	" 462"	" 136"	" 153"	"  82"	"  365"	"  197"	"  232"	"  345"	" 538"	" 608"	" 136"	"   17"	"  222"	"3057"	"  222"	" 170"	"   47"	"  141"	" 273"	" 181"	" 214"	" 589"	" 571"	" 719"	" 304"	" 281"	"  59"	"  98"	" 111"	" 823"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"80"	"   21"	"  14"	"  27"	"  42"	"1542"	" 856"	"1211"	" 2555"	"  183"	"    7"	"    3"	"  22"	"   5"	" 215"	"  230"	"  761"	"  54"	"   15"	"   1"	"   59"	"  207"	" 152"	"   1"	" 562"	"   6"	"   4"	"  52"	"1740"	"1599"	"1165"	"1213"	"1966"	"  54"	"k__Bacteria;p__Proteobacteria"
"82"	"    1"	"   1"	"   0"	"   0"	"   0"	"   7"	"   1"	"    0"	" 2197"	"  885"	" 1639"	"1248"	"1130"	" 345"	"  421"	"   81"	"   3"	"  190"	"1691"	" 1274"	"  375"	"   1"	"1485"	" 206"	"   0"	"   0"	"   2"	"   2"	"   0"	"   1"	"   3"	"   0"	"   0"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas"
"83"	"   43"	"   1"	"   0"	"   0"	"   3"	"   1"	"   1"	"    0"	" 1557"	"  503"	"  471"	"3160"	"3001"	" 213"	"    5"	"   41"	"   0"	"   25"	"   6"	"    0"	"    1"	"   1"	"   7"	"   0"	"  33"	"  60"	"  69"	"   2"	"   4"	"   4"	"   9"	"   6"	"  47"	"k__Bacteria;p__BacteriaKI;c__BacteriaKI;o__BacteriaKI;f__BacteriaKI;g__BacteriaKI"
"84"	"   73"	" 103"	"  19"	"  28"	"  91"	" 124"	"  34"	"   26"	"   36"	"   19"	"   40"	"  59"	"  47"	" 250"	"   92"	"  115"	"  77"	"  156"	"   7"	"   14"	"   73"	" 190"	"   6"	"  40"	"  49"	"  88"	" 116"	" 140"	" 133"	" 104"	" 165"	" 100"	"  99"	"k__Archaea;p__Crenarchaeota;c__C2;o__pGrfC26;f__pGrfC26OR;g__pGrfC26OR"
"86"	"   25"	"  13"	"  58"	"  27"	"   0"	"   9"	"   1"	"    1"	"   49"	"  527"	"  119"	" 426"	" 337"	"  38"	"    4"	"   23"	"  15"	"  115"	"  86"	"11013"	" 1181"	"   0"	"  75"	"  37"	"   2"	"  11"	"   8"	"   0"	"   0"	"   1"	"   2"	"   2"	"  15"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae;g__Pullulanibacillus"
"87"	"    0"	"   1"	"   1"	"   0"	"   0"	"   0"	"   0"	"    0"	" 3516"	"  529"	" 3495"	"  65"	"   4"	"   3"	"    6"	"    6"	"   0"	"    0"	"  25"	"   16"	"    4"	"   7"	"  37"	"   6"	"   1"	"   0"	"   0"	"   0"	"   1"	"   1"	"   0"	"   0"	"   0"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__RhizobiaceaeFA"
"88"	"  433"	" 163"	" 442"	" 311"	" 220"	"  28"	" 164"	"  256"	"  265"	"  212"	"  284"	" 276"	" 231"	" 915"	"  543"	" 2349"	" 503"	"  283"	" 343"	"   97"	" 1015"	"1479"	" 319"	"  32"	" 201"	" 271"	" 157"	" 448"	" 250"	" 413"	" 144"	" 347"	" 243"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Solirubrobacterales;f__SolirubrobacteralesOR;g__SolirubrobacteralesOR"
"89"	"    9"	"   6"	"   9"	"   0"	"   4"	"  22"	"   7"	"    7"	"  283"	"  636"	"  142"	" 564"	" 531"	"3923"	" 6680"	"  346"	"  21"	"  169"	"  42"	"   25"	"   73"	"  16"	"  39"	"  21"	"  16"	"  22"	"  19"	"   8"	"   4"	"   5"	"   8"	"   9"	"  21"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfosporosinus"
"90"	"    1"	"  28"	"   7"	"  17"	"   0"	"   0"	"   0"	"    1"	"    5"	"    1"	"   11"	"  21"	"  25"	"   0"	"    0"	"    0"	"   1"	"    1"	"   5"	"    0"	"    1"	"   1"	"   5"	"   0"	"  15"	"   6"	"   6"	"   0"	"   0"	"   0"	"   0"	"   1"	"   5"	"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__BetaproteobacteriaCL;f__BetaproteobacteriaCL;g__BetaproteobacteriaCL"
"91"	"    7"	"  31"	"   8"	"   4"	"   3"	"  23"	"   3"	"   18"	"   31"	" 1227"	"   22"	"  18"	"  26"	"  22"	"  252"	"   44"	"  17"	"   92"	"5917"	"   28"	"   93"	"  19"	"5958"	"   0"	"   7"	"  16"	"   8"	"  13"	"   5"	"  13"	"   4"	"   6"	"   6"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus"
"94"	"  272"	"  81"	" 242"	" 204"	" 612"	" 178"	" 682"	"   47"	"   33"	"   50"	"  115"	"  54"	"  44"	"  85"	"   30"	"  964"	" 629"	"   73"	"  28"	"   33"	" 1142"	"1044"	"  42"	" 136"	" 191"	" 141"	" 188"	"1245"	" 846"	"1027"	" 926"	"1116"	" 195"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"95"	"  294"	" 352"	" 244"	" 275"	" 342"	" 232"	" 180"	"  153"	"   94"	"  154"	"  175"	" 278"	" 325"	"  89"	"   57"	"  312"	" 811"	"  244"	"  66"	"   40"	"  218"	" 147"	"  89"	" 220"	" 273"	" 412"	" 469"	" 624"	" 644"	" 524"	" 500"	" 615"	" 459"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SyntrophobacteraceaeFA"
"96"	"   63"	" 175"	"  96"	"  93"	"  13"	"  79"	"   5"	"   16"	"   95"	"   57"	"   82"	" 254"	" 211"	"   5"	"   10"	"   10"	"  17"	"  306"	"  87"	"    9"	"    8"	"   2"	" 107"	"   4"	" 127"	"  97"	" 101"	"   3"	"  22"	"   2"	"   8"	"   4"	"  95"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__Pirellulaceae;g__A17"
"97"	"  620"	" 502"	" 884"	" 964"	" 177"	"  58"	" 153"	"  503"	"  161"	"  193"	"  223"	" 272"	" 231"	"  45"	"   58"	"   93"	" 132"	"   56"	" 138"	"   67"	"  171"	" 115"	" 189"	" 118"	"1270"	"1256"	" 752"	" 147"	" 434"	" 255"	"  72"	" 168"	" 694"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"98"	"  184"	" 371"	" 178"	" 352"	"  54"	"   4"	"  18"	"   43"	"   38"	"   44"	"  208"	" 604"	" 511"	"   0"	"    2"	"    9"	"   5"	"  226"	" 192"	"    6"	"   12"	"   5"	" 292"	"   3"	" 160"	" 198"	" 184"	"   7"	"  12"	"   4"	"   7"	"  20"	" 215"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter"
"99"	"   28"	" 286"	" 186"	" 210"	"  42"	"  22"	"  18"	"   25"	"   39"	"   15"	"   28"	"  92"	"  86"	"   6"	"    5"	"   14"	"  30"	"   78"	"  25"	"    5"	"   15"	"   9"	"  46"	"  10"	" 189"	" 164"	" 244"	"  17"	"  29"	"  27"	"  25"	"  17"	" 249"	"k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__AcidobacterialesOR;g__AcidobacterialesOR"
"100"	"   28"	"   1"	"   1"	"   4"	" 535"	"2096"	" 860"	"   23"	"    7"	"    1"	"    2"	"   1"	"   1"	"3359"	"  136"	"  330"	"1411"	"    7"	"   0"	"   44"	"  726"	" 467"	"   0"	" 360"	"   1"	"   0"	"  31"	"1050"	" 557"	" 819"	"1241"	" 525"	"  10"	"k__Archaea;p__Crenarchaeota;c__Sd-NA;o__NRP-J;f__NRP-JOR;g__NRP-JOR"
"101"	"  115"	" 271"	" 310"	" 318"	" 111"	"  67"	" 139"	"  146"	"   61"	"   24"	"   34"	" 145"	" 142"	"  12"	"   28"	"   29"	"  44"	"   41"	"  15"	"    5"	"   19"	"   4"	"  16"	"   7"	" 209"	" 217"	" 291"	"  90"	"  98"	"  99"	"  63"	"  50"	" 310"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__AlphaproteobacteriaCL;f__AlphaproteobacteriaCL;g__AlphaproteobacteriaCL"
"102"	"  575"	" 100"	" 108"	"  93"	"  88"	"  56"	"  52"	"   90"	"  123"	"  124"	"  268"	" 234"	" 207"	"  61"	"   13"	"   92"	"  69"	"   99"	"  34"	"  112"	"   43"	" 190"	"  32"	" 475"	" 140"	" 233"	" 187"	" 139"	"  71"	" 202"	" 164"	"  39"	" 125"	"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobia subdivision 3;g__Verrucomicrobia subdivision 3FA"
"103"	"    1"	"   3"	"   3"	"   3"	"   0"	"   1"	"   0"	"    1"	"   28"	"   13"	"   59"	"  12"	"  14"	"  17"	"    1"	"    1"	"   1"	"    0"	"   4"	"    2"	"    5"	"   0"	"   5"	"   0"	"   9"	"   0"	"  11"	"   0"	"   0"	"   1"	"   0"	"   0"	"   3"	"k__Bacteria;p__Chloroflexi;c__SOGA31;o__SOGA31CL;f__SOGA31CL;g__SOGA31CL"
"110"	"  237"	" 569"	" 395"	" 494"	"  26"	"  16"	"  23"	"  116"	"   56"	"   61"	"   91"	" 413"	" 390"	"  12"	"    5"	"   59"	"   5"	"  259"	"  29"	"   39"	"   12"	"  39"	"  35"	" 124"	" 220"	" 368"	" 337"	"  10"	"  31"	"  20"	"  19"	"  17"	" 287"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter"
"112"	"  170"	" 262"	" 357"	" 217"	"  43"	"  26"	"  59"	" 1082"	"  210"	"  189"	"  169"	" 240"	" 203"	"  53"	"  155"	"  125"	"  19"	"  223"	" 431"	"   77"	"  375"	" 993"	" 620"	" 135"	" 402"	" 385"	" 214"	"  79"	" 103"	"  51"	"  44"	"  66"	" 185"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"113"	"   72"	" 378"	" 291"	" 383"	"  16"	"  16"	"  12"	"   62"	"  281"	"   84"	"   60"	" 187"	" 183"	"  11"	"    2"	"   14"	" 103"	"   62"	" 139"	"   11"	"   15"	"   4"	" 146"	"  12"	" 298"	" 262"	" 224"	"  13"	"  11"	"   7"	"   6"	"   5"	" 125"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__AlphaproteobacteriaCL;f__AlphaproteobacteriaCL;g__AlphaproteobacteriaCL"
"114"	"  136"	" 567"	" 566"	" 357"	"  12"	"  11"	"  11"	"   22"	"  112"	"   61"	"   99"	" 335"	" 374"	"  14"	"    8"	"   27"	"   5"	"  297"	"  90"	"    8"	"   33"	"  15"	"  81"	"   8"	" 280"	" 376"	" 546"	"   9"	"  14"	"   8"	"   6"	"   7"	" 324"	"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA"
"115"	"  573"	" 298"	" 478"	" 349"	" 134"	"  59"	"  99"	"   55"	"  366"	"  211"	"  561"	" 443"	" 418"	" 134"	"  187"	"  445"	" 214"	"  189"	" 284"	"  129"	"  190"	" 345"	" 344"	"  61"	" 346"	" 405"	" 322"	" 193"	" 196"	" 113"	"  66"	" 130"	" 531"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Acidimicrobiales;f__AcidimicrobialesOR;g__AcidimicrobialesOR"
"116"	"    1"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"    2"	" 7195"	"  466"	"   9"	"   0"	"  34"	"    3"	"    1"	"   5"	"   12"	"   1"	" 4515"	"   76"	"   0"	"   2"	"  18"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   3"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus"
"120"	"   89"	"   0"	"   1"	"   0"	"   0"	"   2"	"   0"	"    0"	"  253"	"  148"	"  182"	" 563"	" 538"	"8357"	"  477"	"  547"	"   0"	"    1"	"   1"	"  186"	"    2"	"   1"	"   0"	"   6"	"  24"	"  36"	"  79"	"   0"	"   0"	"   0"	"   0"	"   1"	"  12"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__ThermoanaerobacteralesOR;g__ThermoanaerobacteralesOR"
"121"	"    4"	"  16"	"   8"	"  16"	" 150"	" 198"	"  86"	"   57"	"   14"	"    8"	"    5"	"   7"	"   5"	" 201"	"   70"	"  109"	" 163"	"   23"	"   4"	"    9"	"   60"	"  78"	"   8"	"  44"	"   6"	"  10"	"  32"	" 256"	" 171"	" 120"	" 375"	" 353"	"  11"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__PhyllobacteriaceaeFA"
"122"	"    8"	" 122"	"  39"	"   8"	"   0"	"   3"	"   1"	"    2"	"    1"	"    4"	"   13"	"  44"	"  42"	"   1"	"    1"	"    3"	"   0"	"    2"	"   0"	"    0"	"    0"	"   0"	"   0"	"   0"	"  27"	"  29"	"  19"	"   0"	"   5"	"   0"	"   2"	"   0"	"  31"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter"
"124"	"    1"	"   9"	"   0"	"   5"	"   0"	"   0"	"   0"	"    0"	"    0"	"    0"	"    0"	"  53"	"  51"	"   1"	"    0"	"    1"	"   0"	"   22"	"   0"	"    0"	"    0"	"   0"	"   0"	"   0"	"   5"	"   0"	"   1"	"   0"	"   0"	"   0"	"   2"	"   0"	"   0"	"k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR"
"125"	"  352"	" 234"	" 208"	" 170"	"  61"	"  55"	"  40"	"   81"	"  188"	"  137"	"  254"	" 575"	" 584"	" 155"	"   14"	"  139"	"  10"	"  220"	"  56"	"   66"	"  165"	"  96"	"  61"	" 467"	" 136"	" 190"	" 277"	" 153"	" 108"	"  96"	"  50"	"  74"	" 264"	"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes (class);o__Gemmatimonadales;f__GemmatimonadalesOR;g__GemmatimonadalesOR"
"127"	"    0"	"   1"	"   0"	"   0"	"   0"	"   5"	"   1"	"    0"	" 8441"	"  913"	"    7"	"   0"	"   0"	"   2"	"    2"	"   11"	"   2"	"    3"	"1471"	"    2"	"   55"	"   1"	"1188"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Haloplasmataceae;g__HaloplasmataceaeFA"
"128"	"   24"	" 135"	"  56"	"  72"	"   1"	"   1"	"   0"	"    5"	"   27"	"   30"	"   55"	" 379"	" 396"	"   1"	"    0"	"   10"	"   1"	"   81"	"  31"	"    8"	"    9"	"   2"	"  65"	"   1"	"  15"	"  42"	"  77"	"   0"	"   0"	"   0"	"   0"	"   1"	" 101"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"130"	"    2"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"  124"	"  205"	"  112"	" 674"	" 566"	"3829"	"   78"	" 4242"	"   0"	"    3"	"  15"	"    0"	"  399"	" 244"	"  25"	"  12"	"   1"	"   1"	"  15"	"   7"	"   3"	"   0"	"   6"	" 111"	"   7"	"k__Bacteria;p__Spirochaetes;c__Spirochaetes (class);o__Spirochaetales;f__Spirochaetaceae;g__SA-8"
"132"	"  211"	" 151"	" 198"	" 892"	" 911"	" 276"	"1040"	" 1810"	"  104"	"    5"	"   21"	"  19"	"  10"	"  22"	"  104"	"   61"	"1082"	"    6"	"   2"	"    3"	"   21"	"   8"	"   1"	"   9"	" 791"	" 302"	"  66"	" 573"	" 452"	" 610"	" 262"	" 492"	" 340"	"k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__SAGMA-XFA"
"134"	"  519"	" 175"	" 360"	" 371"	" 774"	" 141"	" 341"	"  416"	"   48"	"   15"	"   37"	"  60"	"  59"	"  87"	"   42"	"  538"	" 130"	"   22"	"  14"	"   55"	"  230"	" 451"	"  13"	" 432"	" 213"	" 237"	" 371"	" 536"	" 958"	" 527"	" 704"	" 907"	" 492"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"137"	"  162"	" 420"	" 347"	" 320"	"  10"	"  10"	"   2"	"   29"	"   77"	"   38"	"  107"	" 240"	" 205"	"   3"	"    3"	"   17"	"  15"	"  123"	"  67"	"    9"	"   12"	"   1"	"  55"	"   0"	" 293"	" 315"	" 392"	"   3"	"   4"	"   0"	"   4"	"   1"	" 300"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes"
"139"	"    2"	"   9"	"   3"	"   1"	"   0"	"   0"	"   2"	"    0"	"    0"	"    0"	"    0"	"   3"	"   6"	"   0"	"    0"	"    0"	"   1"	"   13"	"  12"	"    0"	"    0"	"   1"	"  24"	"   0"	"  19"	"  22"	"   3"	"   1"	"   0"	"   0"	"   0"	"   1"	"   7"	"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__StramenopilesOR;g__StramenopilesOR"
